Station,Address,County,Phone,Mon-Fri,Mon-FI,Tuesday,Wednesday,Thursday,Sat,Sun,Latitude,Longitude,StationID
Ballycotton,Main Street,Co. Cork,(021) 4646712,19:00-21:00,,,,,19:00-21:00,12:00-13:00,51.830332,-8.013091,4205F
Ballynoe,Ballynoe,Co. Cork,(058) 59100,20:00-21:00,,,,,20:00-21:00,Closed,52.060207,-8.099306,4102E
Buttevant,Richmond Street,Co. Cork,(022) 41740,"Mon 18:00-19:00, Tue-Fri 10:00-11:00",,,,,"11:00-13:00, 19:00-20:30",12:00-13:00,52.229313,-8.671275,4171H
Carrigtwohil,Main Street,Co. Cork,(021) 4883222,10:00-12:00,,,,,12:00-13:00,12:00-13:00,51.909467,-8.261819,4072L
Charleville,Chapel Street,Co. Cork,(063) 21770,"10:00-13:00, 14:00-17:00",,,,,"10:00-13:00, 14:00-17:00",12:00-13:00,52.356054,-8.682567,4172F
Cloyne,Spital Street,Co. Cork,(021) 4652515,11:00-13:00,,,,,11:00-13:00,12:00-13:00,51.86276,-8.123499,4201C
Cobh,Lower Road,Co. Cork,(021) 4908530,24-Jul,,,,,24-Jul,24-Jul,51.84824,-8.303642,4070C
Doneraile,Main Street,Co. Cork,(022) 24182,"Mon 19:30-20:30, Tue-Fri 11:30-12:30",,,,,11:30-12:30,11:30-12:30,52.215706,-8.585414,4173D
Fermoy,O'Neill-Crowley Quay,Co. Cork,(025) 82100,24-Jul,,,,,24-Jul,24-Jul,52.138516,-8.274164,4100K
Glantane,Smithfield,Co. Cork,(022) 47154,Varies,,,,,Varies,Varies,52.104692,-8.748764,4175M
Kanturk,Percival Street,Co. Cork,(029) 20680,24-Jul,,,,,24-Jul,24-Jul,52.17587,-8.912577,4500D
Kildorrery,Farrahy Road,Co. Cork,(022) 25162,18:30-19:30,,,,,18:30-19:30,Closed,52.245439,-8.429624,4103C
Killeagh,Main Street,Co. Cork,(024) 95112,16:00-18:00,,,,,16:00-18:00,12:00-13:00,51.939762,-7.994963,4202A
Kilworth,Main Street,Co. Cork,(025) 27101,16:00-17:00,,,,,16:00-17:00,Closed,52.176253,-8.249569,4104A
Liscarroll,Main Street,Co. Cork,(022) 48163,Varies,,,,,Varies,Varies,52.259567,-8.806261,4176K
Mallow,Bowling Green,Co. Cork,(022) 31450,24-Jul,,,,,24-Jul,24-Jul,52.13877,-8.64594,4170L
Midleton,Oliver Plunkett Place,Co. Cork,(021) 4621550,24-Jul,,,,,24-Jul,24-Jul,51.916681,-8.173526,4200E
Milford,Milford,Co. Cork,(063) 80002,Varies,,,,,Varies,Varies,52.342465,-8.8564,4174B
Millstreet,Main Street,Co. Cork,(029) 70002,10:00-13:00,,,,,10:00-13:00,10:00-13:00,52.060069,-9.061531,4505E
Mitchelstown,Upper Cork Street,Co. Cork,(025) 84833,10:00-18:00,,,,,10:00-18:00,14:00-17:00,52.263585,-8.270568,4105L
Newmarket,Church Street,Co. Cork,(029) 60002,10:30-12:30,,,,,10:30-12:30,Closed,52.214576,-8.99698,4504G
Rathcormack,Rathcormac,Co. Cork,(025) 36102,18:30-19:30,,,,,18:30-19:30,Closed,52.076086,-8.284331,4101G
Watergrasshill,Watergrasshill,Co. Cork,(021) 4889102,16:00-17:00,,,,,16:00-17:00,16:00-17:00,52.013443,-8.342022,4078K
Whitegate,New Road,Co. Cork,(021) 4661212,11:00-13:00,,,,,11:00-13:00,12:00-13:00,51.82707,-8.22781,4203L
Youghal,O'Brien's Place,Co. Cork,(024) 92200,08:00-22:00,,,,,08:00-22:00,08:00-22:00,51.948069,-7.842754,4204H
Ballineen,Main Street,Co. Cork,(023) 8847111,10:00-13:00,,,,,10:00-13:00,10:00-13:00,51.73592,-8.948867,4303F
Ballinhassig,Halfway,Co. Cork,(021) 4885102,10:00-13:00,,,,,10:00-13:00,10:00-13:00,51.804093,-8.570545,4302H
Ballydehob,Ballydehob,Co. Cork,(028) 37111,Contact Ballydehob,,,,,,,51.559116,-9.460782,4376A
Ballydesmond,Ballydesmond,Co. Cork,(064) 51102,18:30-20:30,,,,,6:30-20:30,Closed,52.178235,-9.230971,4501B
Baltimore,Baltimore,Co. Cork,(028) 20102,10:00-13:00,,,,,10:00-13:00,10:00-13:00,51.483488,-9.372258,4404M
Bandon,Weir Street,Co. Cork,(023) 8852200,24-Jul,,,,,24-Jul,24-Jul,51.745084,-8.739863,4300A
Bantry,The Quay,Co. Cork,(027) 20860,24-Jul,,,,,24-Jul,24-Jul,51.68027,-9.455239,4370B
Ballingeary,An Chill Mhór - Kilmore,Co. Cork,(026) 47002,10:00-13:00,,,,,10:00-13:00,Closed,51.851864,-9.228983,4473C
Boherbue,Boherbue,Co. Cork,(029) 76002,14:30-16:30,,,,,14:30-16:30,Closed,52.158972,-9.069752,4502M
Castletownbere,West End,Co. Cork,(027) 70002,10:00-14:00,,,,,10:00-14:00,10:00-14:00,51.649482,-9.914682,4378H
Castletownroche,Mallow Road,Co. Cork,(022) 26161,20:00-21:00,,,,,20:00-21:00,Closed,52.170729,-8.467951,4106H
Clonakilty,Mccurtain Hill,Co. Cork,(023) 8821570,24-Jul,,,,,24-Jul,24-Jul,51.624951,-8.888908,4400H
Coachford,Knockaneowen,Co. Cork,(021) 7334002,10:00-13:00,,,,,10:00-13:00,Closed,51.909134,-8.791136,4472E
Crookstown,Crookstown,Co. Cork,(021) 7336002,10:00-13:00,,,,,10:00-13:00,Closed,51.858654,-8.801264,4475L
Drimoleague,Drimoleague,Co. Cork,(028) 31111,10:00-14:00,,,,,10:00-14:00,10:00-14:00,51.659024,-9.263986,4377L
Drinagh,Toughbawn,Co. Cork,(028) 30113,10:00-13:00,,,,,10:00-13:00,Closed,51.64771,-9.154526,4406G
Dunmanway,Main Street,Co. Cork,(023) 8845202,10:00-13:00,,,,,10:00-13:00,10:00-13:00,51.722827,-9.11014,4405K
Durrus,Durrus,Co. Cork,(027) 61002,10:00-14:00,,,,,10:00-14:00,10:00-14:00,51.620542,-9.523956,4375C
Glengarriff,The Village,Co. Cork,(027) 63002,10:00-14:00,,,,,10:00-14:00,10:00-14:00,51.750564,-9.55071,4374E
Innishannon,Main Street,Co. Cork,(021) 4775302,10:00-13:00,,,,,10:00-13:00,10:00-13:00,51.764428,-8.655438,4301L
Kealkill,Kealkill,Co. Cork,(027) 20867,10:00-13:00,,,,,10:00-13:00,10:00-13:00,51.755046,-9.375317,4372K
Kilbrittain,Main Street,Co. Cork,(023) 8849666,10:00-13:00,,,,,10:00-13:00,10:00-13:00,51.673531,-8.690112,4307K
Kinsale,Church Square,Co. Cork,(021) 4772302,10:00-18:00,,,,,10:00-18:00,10:00-18:00,51.706322,-8.52548,4305B
Macroom,Barrack Lane,Co. Cork,(026) 20590,24-Jul,,,,,24-Jul,24-Jul,51.906268,-8.963996,4470K
Rathmore,East End,Co. Kerry,(074) 9158113,14:30-16:30,,,,,14:30-16:30,Closed,52.084275,-9.214231,4507A
Rosscarberry,Church Street,Co. Cork,(023) 8848162,10:00-13:00,,,,,10:00-13:00,Closed,51.577571,-9.031503,4401F
Schull,Schull,Co. Cork,(028) 28111,10:00-13:00,,,,,10:00-13:00,10:00-13:00,51.528718,-9.54136,4371M
Skibbereen,High Street,Co. Cork,(028) 23088,10:00-13:00,,,,,10:00-13:00,Closed,51.548587,-9.264135,4402D
Stuake,Stuake,Co. Cork,(021) 7337032,10:00-13:00,,,,,10:00-13:00,Closed,51.990501,-8.760124,4471G
Tarelton,Deshure,Co. Cork,(026) 46002,10:00-13:00,,,,,10:00-13:00,Closed,51.838531,-8.992849,4477F
Timoleague,Mill Street,Co. Cork,(023) 8846122,10:00-13:00,,,,,10:00-13:00,10:00-13:00,51.642666,-8.766241,4308G
Burtonport,Ailt an Chorráin,Co. Donegal,(074) 9542007,10:00-13:00,,,,,10:00-13:00,10:00-13:00,54.984922,-8.438638,6554D
Bunbeg,Magheraclogher,Co. Donegal,(074) 9531333,10:00-13:00,,,,,10:00-13:00,10:00-13:00,55.065567,-8.289455,6553F
Carrick,An tSráid Mhór - Main Street,Co. Donegal,(074) 9739002,10:00-13:00,,,,,10:00-13:00,10:00-13:00,54.65788,-8.63309,6558G
Dungloe,An tSráid Mhór - Main Street,Co. Donegal,(074) 9521000,10:00-13:00,,,,,10:00-13:00,10:00-13:00,54.951565,-8.361278,6557K
Falcarragh,An tSráid Mhór - Main Street,Co. Donegal,(074) 9135113,10:00-13:00,,,,,10:00-13:00,10:00-13:00,55.136977,-8.102015,6547A
Ardara,Hillhead,Co. Donegal,(074) 9541102,10:00-13:00,,,,,10:00-13:00,10:00-13:00,54.764529,-8.409485,6552H
Ballintra,Main Street,Co. Donegal,(074) 9734002,10:00-13:00,,,,,10:00-13:00,10:00-13:00,54.577798,-8.125418,6601L
Ballybofey,Main Street,Co. Donegal,(074) 9137740,10:00-18:00,,,,,10:00-18:00,Closed,54.800024,-7.779638,6407F
Ballyshannon,Portnason,Co. Donegal,(071) 9858530,24-Jul,,,,,24-Jul,24-Jul,54.498743,-8.204817,6600A
Buncrana,Lisfannon,Co. Donegal,(074) 9320540,24-Jul,,,,,24-Jul,24-Jul,55.1315,-7.450711,6470L
Bundoran,Church Road,Co. Donegal,(071) 9841203,10:00-13:00,,,,,10:00-13:00,10:00-13:00,54.476554,-8.279344,6602H
Burnfoot,Ballyderowen,Co. Donegal,(074) 9368194,10:00-13:00,,,,,10:00-13:00,10:00-13:00,55.054674,-7.401576,6471H
Carndonagh,Malin Road,Co. Donegal,(074) 9374109,09:00-13:00,,,,,09:00-13:00,Closed,55.253506,-7.259461,6472F
Carrigallen,Longford Road,Co. Leitrim,(049) 4339602,10:00-13:00,,,,,10:00-13:00,10:00-13:00,53.975591,-7.646708,6906L
Carrigans,Main Street,Co. Donegal,(074) 9140113,10:00-13:00,,,,,10:00-13:00,10:00-13:00,54.951187,-7.426749,6401G
Carrigart,Umlagh,Co. Donegal,(074) 9155104,10:00-13:00,,,,,10:00-13:00,10:00-13:00,55.175128,-7.798482,6541B
Castlefinn,Grahamsland,Co. Donegal,(074) 9146113,10:00-13:00,,,,,10:00-13:00,10:00-13:00,54.8027,-7.595233,6402E
Clogher,Clooney,Co. Donegal,(074) 9545102,10:00-13:00,,,,,10:00-13:00,10:00-13:00,54.836778,-8.4275,6555B
Clonmany,Main Street,Co. Donegal,(074) 9376102,19:00-20:00,,,,,Closed,Closed,55.263009,-7.412817,6473D
Convoy,Townparks,Co. Donegal,(074) 9147114,10:00-13:00,,,,,10:00-13:00,10:00-13:00,54.859325,-7.668991,6408D
Creeslough,Massinass,Co. Donegal,(074) 9138002,10:00-13:00,,,,,10:00-13:00,10:00-13:00,55.125281,-7.912554,6546C
Donegal,Quay Street,Co. Donegal,(074) 9740190,24-Jul,,,,,24-Jul,24-Jul,54.652423,-8.111061,6603F
Dunfanaghy,Main Street,Co. Donegal,(074) 9136114,10:00-13:00,,,,,10:00-13:00,10:00-13:00,55.182921,-7.974435,6545E
Glenties,Main Street,Co. Donegal,(074) 9551108,10.00-13.00,,,,,10.00-13.00,10.00-13.00,54.79555,-8.28098,6550A
Carrowkeel,Main Street,Co. Donegal,(074) 9150002,10:00-13:00,,,,,10:00-13:00,10:00-13:00,55.137138,-7.666324,6542M
Killybegs,Main Street,Co. Donegal,(074) 9731002,10:00-13:00,,,,,10:00-13:00,10:00-13:00,54.636599,-8.444392,6636B
Kilmacrennan,Main Street,Co. Donegal,(074) 9139002,10:00-13:00,,,,,10:00-13:00,10:00-13:00,55.029495,-7.778514,6543K
Letterkenny,New Line Road,Co. Donegal,(074) 9167100,24-Jul,,,,,24-Jul,24-Jul,54.954697,-7.736422,6400K
Lifford,The Diamond,Co. Donegal,(074) 9141000,10:00-18:00,,,,,10:00-13:00,10:00-13:00,54.832829,-7.480269,6406H
Milford,Main Street,Co. Donegal,(074) 9153060,24-Jul,,,,,24-Jul,24-Jul,55.08699,-7.698108,6540D
Mountcharles,Lower Main Street,Co. Donegal,(074) 9735002,10:00-13:00,,,,,10:00-13:00,10:00-13:00,54.645993,-8.195837,6637M
Moville,Greencastle Road,Co. Donegal,(074) 9382002,"10:00-13:00, 17.00-19.00",,,,,"10:00-13:00, 17.00-19.00","10:00-13:00, 17.00-19.00",55.191632,-7.028567,6476K
Muff,3 Dispensary Court,Co. Donegal,(074) 9384002,10:00-13:00,,,,,10:00-13:00,10:00-13:00,55.068587,-7.268756,6477G
Newtowncunningham,Colehill,Co. Donegal,(074) 9156113,10:00-13:00,,,,,10:00-13:00,10:00-13:00,54.997599,-7.507791,6404A
Pettigo,Main Street,Co. Donegal,(071) 9861512,10:00-13:00,,,,,10:00-13:00,Closed,54.54823,-7.834881,6604D
Ramelton,The Mall,Co. Donegal,(074) 9151002,"10:00-13:00, 19:00-21:00",,,,,"10:00-13:00, 19:00-21:00",10:00-13:00,55.036652,-7.650725,6548L
Raphoe,William Street,Co. Donegal,(074) 9145114,10:00-13:00,,,,,10:00-13:00,10:00-13:00,54.8744,-7.59437,6405L
Rathmullen,Kerr's Bay,Co. Donegal,(074) 9158002,10:00-13:00,,,,,10:00-13:00,10:00-13:00,55.0958,-7.532564,6549H
Balbriggan,Drogheda Road,Co. Dublin,(01) 8020510,24-Jul,,,,,24-Jul,24-Jul,53.61433,-6.191172,2200D
Ballyfermot,Rossmore Avenue,Co. Dublin,(01) 6667200,24-Jul,,,,,24-Jul,24-Jul,53.34476,-6.357991,1720E
Ballymun,Main Street,Co. Dublin,(01) 6664400,24-Jul,,,,,24-Jul,24-Jul,53.394531,-6.26371,1502D
Blackrock,15 Sweetman's Avenue,Co. Dublin,(01) 6665200,24-Jul,,,,,24-Jul,24-Jul,53.299805,-6.177504,1970D
Blanchardstown,Main Street,Co. Dublin,(01) 6667000,24-Jul,,,,,24-Jul,24-Jul,53.38992,-6.380975,1700M
Bridewell,28/30 Chancery Street,Co. Dublin,(01) 6668200,24-Jul,,,,,24-Jul,24-Jul,53.34708,-6.27413,1870H
Cabinteely,Bray Road,Co. Dublin,(01) 6665400,24-Jul,,,,,24-Jul,24-Jul,53.260789,-6.150651,1903H
Cabra,Navan Road,Co. Dublin,(01) 6667400,07:00-21:00,,,,,07:00-21:00,07:00-21:00,53.364985,-6.30764,1701K
Clondalkin,Orchard Lane,Co. Dublin,(01) 6667600,24-Jul,,,,,24-Jul,24-Jul,53.323146,-6.394958,1721C
Clontarf,Strandville Avenue East,Co. Dublin,(01) 6664800,24-Jul,,,,,24-Jul,24-Jul,53.363544,-6.220152,1571G
Coolock,Oscar Traynor Road,Co. Dublin,(01) 6664200,24-Jul,,,,,24-Jul,24-Jul,53.390335,-6.201099,1530L
Crumlin,23 Saint Agnes Road,Co. Dublin,(01) 6666200,24-Jul,,,,,24-Jul,24-Jul,53.319567,-6.315017,1300E
Donnybrook,43 Donnybrook Road,Co. Dublin,(01) 6669200,07:00-21:00,,,,,07:00-21:00,07:00-21:00,53.321731,-6.235914,1200K
Dublin Airport,Terminal Complex,Co. Dublin,(01) 6664950,24-Jul,,,,,24-Jul,24-Jul,53.429782,-6.24501,1503B
Dun Laoghaire,Corrig Avenue,Co. Dublin,(01) 6665000,24-Jul,,,,,24-Jul,24-Jul,53.289915,-6.133347,1900C
Dundrum,Dundrum,Co. Dublin,(01) 6665600,24-Jul,,,,,24-Jul,24-Jul,53.289544,-6.242572,1971B
Finglas,Mellowes Road,Co. Dublin,(01) 6667500,24-Jul,,,,,24-Jul,24-Jul,53.389651,-6.306919,1702G
Fitzgibbon Street,23-28 Fitzgibbon Street,Co. Dublin,(01) 6668400,24-Jul,,,,,24-Jul,24-Jul,53.357735,-6.255359,1830K
Garristown,Main Street,Co. Dublin,(01) 8354112,,,,,17:00-19:00,,,53.567052,-6.383903,2204G
Howth,8 Dunbo Hill,Co. Dublin,(01) 6664900,07:00-21:00,,,,,07:00-21:00,07:00-21:00,53.387287,-6.069001,1572E
Irishtown,Irishtown Road,Co. Dublin,(01) 6669600,24-Jul,,,,,24-Jul,24-Jul,53.338063,-6.22304,1201G
Kevin Street,Kevin Street upper,Co. Dublin,(01) 6669400,24-Jul,,,,,24-Jul,24-Jul,53.338982,-6.270248,1070G
Kilmainham,Kilmainham Lane,Co. Dublin,(01) 6669700,24-Jul,,,,,24-Jul,24-Jul,53.341869,-6.304273,1071E
Lucan,Leixlip Road,Co. Dublin,(01) 6667300,24-Jul,,,,,24-Jul,24-Jul,53.356052,-6.45068,1710H
Lusk,Dublin Road,Co. Dublin,(01) 8437222,,,,17:00-19:00,,,,53.523431,-6.167335,2202M
Malahide,1/2 James's Terrace,Co. Dublin,(01) 6664600,07:00-21:00,,,,,07:00-21:00,07:00-21:00,53.451162,-6.151959,1531H
Mountjoy,399 North Circular Road,Co. Dublin,(01) 6668600,24-Jul,,,,,24-Jul,24-Jul,53.360484,-6.266825,1831G
O'Connell Street,13A O'Connell Street,Co. Dublin,(01) 6668000,,8am-2am,,,,8am-2am,8am-2am,53.3507,-6.2602,1800G
Pearse Street,1-6 Pearse Street,Co. Dublin,(01) 6669000,24-Jul,,,,,24-Jul,24-Jul,53.345702,-6.256269,1000F
Raheny,All Saints Road,Co. Dublin,(01) 6664300,24-Jul,,,,,24-Jul,24-Jul,53.378983,-6.177986,1570K
Rathcoole,Main Street,Co. Dublin,(01) 6667900,"10:00-13:00, 14:00-17:00",,,,,"10:00-13:00, 14:00-17:00","10:00-13:00, 14:00-17:00",53.281792,-6.464709,1723L
Rathfarnham,Butterfield Avenue,Co. Dublin,(01) 6666500,24-Jul,,,,,24-Jul,24-Jul,53.297388,-6.28815,1370F
Rathmines,Rathgar Road,Co. Dublin,(01) 6666700,24-Jul,,,,,24-Jul,24-Jul,53.321317,-6.267004,1470B
Ronanstown,Saint Ronan's Avenue,Co. Dublin,(01) 6667700,24-Jul,,,,,24-Jul,24-Jul,53.337899,-6.406023,1712C
Santry,Shanowen Road,Co. Dublin,(01) 6664000,07:00-21:00,,,,,07:00-21:00,07:00-21:00,53.389728,-6.251635,1500H
Shankill,Dorney Court,Co. Dublin,(01) 6665900,24-Jul,,,,,24-Jul,24-Jul,53.233524,-6.121017,1932A
Skerries,90 Strand Street,Co. Dublin,(01) 8491211,,,17:00-19:00,,,,,53.579593,-6.106963,2201B
Stepaside,Stepaside,Co. Dublin,(01) 6665700,07:00-21:00,,,,,07:00-21:00,07:00-21:00,53.253332,-6.21452,3686B
Store Street,4-6 Store Street,Co. Dublin,(01) 6668000,24-Jul,,,,,24-Jul,24-Jul,53.350455,-6.252246,1800G
Sundrive Road,Crumlin Road,Co. Dublin,(01) 6666600,07:00-21:00,,,,,07:00-21:00,07:00-21:00,53.330191,-6.298731,1301C
Swords,Main Street,Co. Dublin,(01) 6664700,24-Jul,,,,,24-Jul,24-Jul,53.456023,-6.221116,1532F
Tallaght,Belgard Road East,Co. Dublin,(01) 6666000,24-Jul,,,,,24-Jul,24-Jul,53.286801,-6.367838,1372B
Terenure,30/32 Terenure Road West,Co. Dublin,(01) 6666400,07:00-21:00,,,,,07:00-21:00,07:00-21:00,53.309815,-6.288029,1471M
Ahascragh,Chapel Street,Co. Galway,(090) 9688652,Contact Mountbellew (090) 9679292,,,,,Closed,Closed,53.395672,-8.33064,5671E
